time	V(signal)	V(vout)
1.023685552064787e-05	-1.074839e-04	1.696344e-01
1.025638677064787e-05	-1.074839e-04	1.696299e-01
1.027591802064787e-05	-1.074839e-04	1.696256e-01
1.029544927064787e-05	-1.074839e-04	1.696216e-01
1.031498052064787e-05	-1.074839e-04	1.696178e-01
1.033451177064787e-05	-1.074839e-04	1.696143e-01
1.035404302064787e-05	-1.074839e-04	1.696110e-01
1.037357427064787e-05	-1.074839e-04	1.696079e-01
1.039310552064787e-05	-1.074839e-04	1.696050e-01
1.041263677064786e-05	-1.074839e-04	1.696022e-01
1.043216802064786e-05	-1.074839e-04	1.695997e-01
1.045169927064786e-05	-1.074839e-04	1.695972e-01
1.047123052064786e-05	-1.074839e-04	1.695950e-01
1.049076177064786e-05	-1.074839e-04	1.695929e-01
1.051029302064786e-05	-1.074839e-04	1.695909e-01
1.052982427064786e-05	-1.074839e-04	1.695890e-01
1.054935552064786e-05	-1.074839e-04	1.695873e-01
1.056888677064786e-05	-1.074839e-04	1.695857e-01
1.058841802064786e-05	-1.074839e-04	1.695842e-01
1.060794927064786e-05	-1.074839e-04	1.695828e-01
1.062748052064786e-05	-1.074839e-04	1.695814e-01
1.064701177064785e-05	-1.074839e-04	1.695802e-01
1.066654302064785e-05	-1.074839e-04	1.695790e-01
1.068607427064785e-05	-1.074839e-04	1.695779e-01
1.070560552064785e-05	-1.074839e-04	1.695769e-01
