time	V(vout2)
Step Information: C=100p R=500  (Step: 1/25)
7.549835075090711e-07	2.235192e+00
7.549987662981336e-07	2.235170e+00
7.550292838762587e-07	2.235126e+00
7.550903190325086e-07	2.235040e+00
7.551055778215711e-07	2.235018e+00
7.551360953996962e-07	2.234975e+00
7.551971305559461e-07	2.234889e+00
7.552123893450086e-07	2.234867e+00
7.552162040422743e-07	2.234862e+00
7.552238334368055e-07	2.234851e+00
7.552390922258680e-07	2.234830e+00
7.552696098039931e-07	2.234787e+00
7.552772391985243e-07	2.234776e+00
7.552924979875868e-07	2.234754e+00
7.553230155657119e-07	2.234711e+00
7.553840507219618e-07	2.234625e+00
7.553993095110243e-07	2.234604e+00
7.554298270891494e-07	2.234561e+00
7.554908622453993e-07	2.234475e+00
7.555061210344618e-07	2.234454e+00
7.555366386125869e-07	2.234411e+00
7.555976737688368e-07	2.234325e+00
7.556129325578993e-07	2.234304e+00
7.556434501360244e-07	2.234261e+00
7.557044852922743e-07	2.234175e+00
7.557197440813368e-07	2.234154e+00
7.557502616594619e-07	2.234111e+00
7.558112968157118e-07	2.234025e+00
7.558265556047743e-07	2.234004e+00
7.558570731828994e-07	2.233961e+00
7.559181083391493e-07	2.233875e+00
7.559333671282118e-07	2.233853e+00
7.559638847063369e-07	2.233810e+00
7.560249198625868e-07	2.233724e+00
7.561469901750868e-07	2.233552e+00
7.563911308000869e-07	2.233209e+00
7.568794120500868e-07	2.232524e+00
7.570014823625868e-07	2.232353e+00
7.570319999407119e-07	2.232310e+00
7.570396293352431e-07	2.232299e+00
7.570548881243056e-07	2.232277e+00
7.570854057024307e-07	2.232234e+00
7.571464408586806e-07	2.232148e+00
7.571616996477431e-07	2.232126e+00
7.571922172258682e-07	2.232084e+00
7.572532523821181e-07	2.231997e+00
7.573753226946182e-07	2.231826e+00
7.574058402727432e-07	2.231783e+00
7.574668754289931e-07	2.231698e+00
7.574821342180557e-07	2.231676e+00
7.575126517961807e-07	2.231633e+00
7.575736869524306e-07	2.231548e+00
7.576957572649307e-07	2.231377e+00
7.579398978899307e-07	2.231037e+00
7.584281791399306e-07	2.230357e+00
7.594047416399307e-07	2.228983e+00
7.613578666399307e-07	2.226211e+00
7.633109916399308e-07	2.223425e+00
7.635551322649308e-07	2.223085e+00
7.636161674211808e-07	2.222998e+00
7.637382377336808e-07	2.222825e+00
7.639823783586808e-07	2.222482e+00
7.644706596086808e-07	2.221804e+00
7.654472221086808e-07	2.220436e+00
7.674003471086808e-07	2.217676e+00
7.693534721086809e-07	2.214906e+00
7.695976127336809e-07	2.214562e+00
7.700858939836809e-07	2.213882e+00
7.701011527727434e-07	2.213861e+00
7.701049674700090e-07	2.213856e+00
7.701125968645403e-07	2.213845e+00
7.701278556536028e-07	2.213824e+00
7.701583732317278e-07	2.213781e+00
7.702194083879778e-07	2.213695e+00
7.703414787004778e-07	2.213523e+00
7.705856193254778e-07	2.213182e+00
7.710739005754778e-07	2.212504e+00
7.720504630754778e-07	2.211149e+00
7.722946037004778e-07	2.210811e+00
7.727828849504778e-07	2.210131e+00
7.737594474504778e-07	2.208775e+00
7.757125724504779e-07	2.206048e+00
7.757430900286029e-07	2.206017e+00
7.758041251848529e-07	2.205928e+00
7.759261954973529e-07	2.205754e+00
7.761703361223529e-07	2.205411e+00
7.766586173723529e-07	2.204737e+00
7.776351798723529e-07	2.203395e+00
7.795883048723529e-07	2.200686e+00
7.815414298723530e-07	2.197970e+00
7.834945548723530e-07	2.195275e+00
7.854476798723531e-07	2.192597e+00
7.874008048723531e-07	2.189926e+00
7.893539298723532e-07	2.187274e+00
7.913070548723532e-07	2.184630e+00
7.932601798723533e-07	2.182004e+00
7.935043204973533e-07	2.181677e+00
7.939926017473533e-07	2.181028e+00
7.949691642473533e-07	2.179732e+00
7.969222892473533e-07	2.177133e+00
7.988754142473534e-07	2.174538e+00
8.008285392473534e-07	2.171956e+00
8.027816642473535e-07	2.169394e+00
8.047347892473535e-07	2.166837e+00
8.049789298723535e-07	2.166526e+00
8.054672111223535e-07	2.165889e+00
8.064437736223535e-07	2.164631e+00
8.083968986223536e-07	2.162102e+00
8.103500236223536e-07	2.159575e+00
8.123031486223537e-07	2.157063e+00
8.142562736223537e-07	2.154566e+00
8.162093986223538e-07	2.152075e+00
8.181625236223538e-07	2.149603e+00
8.201156486223539e-07	2.147135e+00
8.220687736223539e-07	2.144683e+00
8.223129142473539e-07	2.144384e+00
8.223739494036039e-07	2.144307e+00
8.224960197161039e-07	2.144154e+00
8.227401603411039e-07	2.143852e+00
8.232284415911039e-07	2.143257e+00
8.242050040911039e-07	2.142055e+00
8.261581290911040e-07	2.139628e+00
8.281112540911040e-07	2.137199e+00
8.300643790911041e-07	2.134789e+00
8.320175040911041e-07	2.132385e+00
8.339706290911042e-07	2.129999e+00
8.359237540911042e-07	2.127618e+00
8.359542716692292e-07	2.127583e+00
8.359619010637605e-07	2.127574e+00
8.359771598528230e-07	2.127555e+00
8.360076774309480e-07	2.127518e+00
8.360687125871980e-07	2.127445e+00
8.360839713762605e-07	2.127426e+00
8.361144889543855e-07	2.127389e+00
8.361755241106355e-07	2.127316e+00
8.361907828996980e-07	2.127298e+00
